feature	importance
home_team_point_diff_rolling_3	0.16169605
home_win_streak	0.08697018
home_team_point_diff_rolling_5	0.05894322
elo_home_momentum	0.054891195
away_team_away_score_rolling_5	0.05455699
elo_home	0.053280126
elo_away_momentum	0.04884623
away_team_away_score_rolling_10	0.048758056
home_team_home_score_rolling_5	0.047775317
home_rest_days	0.047744956
away_team_away_score_rolling_3	0.04766985
elo_away	0.043733004
home_team_home_score_rolling_3	0.043625742
away_rest_days	0.041221976
home_team_point_diff_rolling_10	0.041160826
elo_diff	0.040252198
home_team_home_score_rolling_10	0.039672025
rest_diff	0.039202012
is_home	0
