feature,importance
home_team_point_diff_rolling_3,0.14778519
home_win_streak,0.079675145
home_team_point_diff_rolling_5,0.07209336
away_team_away_score_rolling_5,0.06560223
away_team_away_score_rolling_3,0.062449127
elo_home_momentum,0.052045893
elo_away_momentum,0.051516935
elo_home,0.048993118
home_rest_days,0.04602093
elo_diff,0.045172237
rest_diff,0.044974796
away_team_away_score_rolling_10,0.0440014
home_team_home_score_rolling_10,0.043643147
home_team_point_diff_rolling_10,0.04180679
home_team_home_score_rolling_5,0.041805845
elo_away,0.039664697
home_team_home_score_rolling_3,0.03848703
away_rest_days,0.034262087
is_home,0.0
